PeakID (cmd=annotatePeaks.pl SPT5_T15_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T15_R1_peak_449	XII	459755	460751	+	2540	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	577	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
SPT5_T15_R1_peak_489	XII	1071496	1071896	+	239	NA	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	14	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
SPT5_T15_R1_peak_280	VII	625179	625745	+	234	NA	promoter-TSS (YGR067C)	protein_coding-promoter-TSS (YGR067C)	-676	YGR067C	YGR067C	YGR067C			YGR067C			protein_coding
SPT5_T15_R1_peak_669	XVI	214382	215608	+	232	NA	Intergenic	Intergenic	-1033	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
SPT5_T15_R1_peak_685	XVI	431576	432763	+	209	NA	promoter-TSS (YPL061W)	protein_coding-promoter-TSS (YPL061W)	274	YPL062W	YPL062W	YPL062W			YPL062W			protein_coding
SPT5_T15_R1_peak_529	XIII	652748	653877	+	203	NA	promoter-TSS (YMR194C-A)	protein_coding-promoter-TSS (YMR194C-A)	-176	YMR194C-A	YMR194C-A	YMR194C-A			YMR194C-A			protein_coding
SPT5_T15_R1_peak_261	VII	384390	385778	+	200	NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-112	YGL062W	YGL062W	YGL062W			PYC1			protein_coding
SPT5_T15_R1_peak_170	IX	248915	249693	+	198	NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	454	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
SPT5_T15_R1_peak_321	VIII	122095	122685	+	197	NA	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	375	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
SPT5_T15_R1_peak_242	VI	255320	255845	+	184	NA	promoter-TSS (YFR053C)	protein_coding-promoter-TSS (YFR053C)	-533	YFR053C	YFR053C	YFR053C			HXK1			protein_coding
SPT5_T15_R1_peak_98	IV	410407	411653	+	183	NA	promoter-TSS (YDL022C-A)	protein_coding-promoter-TSS (YDL022C-A)	651	tA(AGC)D	tA(AGC)D	tA(AGC)D			tA(AGC)D			tRNA
SPT5_T15_R1_peak_612	XV	424144	424717	+	182	NA	promoter-TSS (YOR049C)	protein_coding-promoter-TSS (YOR049C)	187	YOR050C	YOR050C	YOR050C			YOR050C			protein_coding
SPT5_T15_R1_peak_658	XVI	40244	40997	+	179	NA	promoter-TSS (YPL265W)	protein_coding-promoter-TSS (YPL265W)	-423	YPL265W	YPL265W	YPL265W			DIP5			protein_coding
SPT5_T15_R1_peak_311	VII	1000175	1000721	+	177	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-479	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
SPT5_T15_R1_peak_330	VIII	280215	281462	+	177	NA	promoter-TSS (YHR087W)	protein_coding-promoter-TSS (YHR087W)	18	YHR087W	YHR087W	YHR087W			RTC3			protein_coding
SPT5_T15_R1_peak_91	IV	321729	322118	+	177	NA	promoter-TSS (YDL075W)	protein_coding-promoter-TSS (YDL075W)	-303	YDL075W	YDL075W	YDL075W			RPL31A			protein_coding
SPT5_T15_R1_peak_523	XIII	540147	540911	+	177	NA	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-473	YMR135C	YMR135C	YMR135C			GID8			protein_coding
SPT5_T15_R1_peak_218	V	442013	442487	+	177	NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	263	SCR1	SCR1	SCR1			SCR1			ncRNA
SPT5_T15_R1_peak_697	XVI	645050	646296	+	174	NA	promoter-TSS (YPR036W-A)	protein_coding-promoter-TSS (YPR036W-A)	-277	YPR036W-A	YPR036W-A	YPR036W-A			SPO24			protein_coding
SPT5_T15_R1_peak_427	XI	614609	615474	+	172	NA	promoter-TSS (YKR093W)	protein_coding-promoter-TSS (YKR093W)	-689	YKR093W	YKR093W	YKR093W			PTR2			protein_coding
SPT5_T15_R1_peak_22	II	164937	165704	+	167	NA	promoter-TSS (YBL029C-A)	protein_coding-promoter-TSS (YBL029C-A)	-548	YBL029C-A	YBL029C-A	YBL029C-A			YBL029C-A			protein_coding
SPT5_T15_R1_peak_651	XV	978496	979241	+	166	NA	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-799	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
SPT5_T15_R1_peak_64	III	77837	78633	+	165	NA	promoter-TSS (YCL024W)	protein_coding-promoter-TSS (YCL024W)	-316	YCL025C	YCL025C	YCL025C			AGP1			protein_coding
SPT5_T15_R1_peak_628	XV	678890	679154	+	165	NA	promoter-TSS (YOR182C)	protein_coding-promoter-TSS (YOR182C)	150	YOR183W	YOR183W	YOR183W			FYV12			protein_coding
SPT5_T15_R1_peak_142	IV	1242354	1243020	+	165	NA	promoter-TSS (YDR384C)	protein_coding-promoter-TSS (YDR384C)	-543	YDR385W	YDR385W	YDR385W			EFT2			protein_coding
SPT5_T15_R1_peak_467	XII	728190	728704	+	165	NA	promoter-TSS (YLR299C-A)	protein_coding-promoter-TSS (YLR299C-A)	-444	YLR299C-A	YLR299C-A	YLR299C-A			YLR299C-A			protein_coding
SPT5_T15_R1_peak_690	XVI	502392	503063	+	165	NA	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	303	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
SPT5_T15_R1_peak_596	XV	108983	110084	+	165	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	357	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
SPT5_T15_R1_peak_626	XV	638690	639379	+	165	NA	promoter-TSS (YOR161C)	protein_coding-promoter-TSS (YOR161C)	233	YOR161C-C	YOR161C-C	YOR161C-C			YOR161C-C			protein_coding
SPT5_T15_R1_peak_155	IV	1489986	1490526	+	165	NA	promoter-TSS (YDR524C-A)	protein_coding-promoter-TSS (YDR524C-A)	-266	YDR524C-A	YDR524C-A	YDR524C-A			YDR524C-A			protein_coding
SPT5_T15_R1_peak_513	XIII	352744	353395	+	165	NA	promoter-TSS (YMR043W)	protein_coding-promoter-TSS (YMR043W)	466	YMR042W	YMR042W	YMR042W			ARG80			protein_coding
SPT5_T15_R1_peak_263	VII	413264	413655	+	162	NA	promoter-TSS (YGL045W)	protein_coding-promoter-TSS (YGL045W)	-643	YGL045W	YGL045W	YGL045W			RIM8			protein_coding
SPT5_T15_R1_peak_233	VI	106351	107098	+	153	NA	promoter-TSS (YFL014W)	protein_coding-promoter-TSS (YFL014W)	239	YFL015C	YFL015C	YFL015C			YFL015C			protein_coding
SPT5_T15_R1_peak_154	IV	1468621	1469260	+	153	NA	promoter-TSS (YDR508C)	protein_coding-promoter-TSS (YDR508C)	-460	YDR510W	YDR510W	YDR510W			SMT3			protein_coding
SPT5_T15_R1_peak_378	X	639060	639821	+	153	NA	promoter-TSS (YJR113C)	protein_coding-promoter-TSS (YJR113C)	-465	YJR113C	YJR113C	YJR113C			RSM7			protein_coding
SPT5_T15_R1_peak_402	XI	216826	217102	+	153	NA	promoter-TSS (YKL120W)	protein_coding-promoter-TSS (YKL120W)	-380	YKL120W	YKL120W	YKL120W			OAC1			protein_coding
SPT5_T15_R1_peak_644	XV	908531	909114	+	153	NA	promoter-TSS (YOR316C-A)	protein_coding-promoter-TSS (YOR316C-A)	-521	YOR317W	YOR317W	YOR317W			FAA1			protein_coding
SPT5_T15_R1_peak_696	XVI	641193	641889	+	150	NA	promoter-TSS (YPR035W)	protein_coding-promoter-TSS (YPR035W)	-667	YPR035W	YPR035W	YPR035W			GLN1			protein_coding
SPT5_T15_R1_peak_465	XII	704174	705043	+	146	NA	promoter-TSS (YLR278C)	protein_coding-promoter-TSS (YLR278C)	225	YLR280C	YLR280C	YLR280C			YLR280C			protein_coding
SPT5_T15_R1_peak_278	VII	598869	599181	+	144	NA	promoter-TSS (YGR055W)	protein_coding-promoter-TSS (YGR055W)	-392	YGR055W	YGR055W	YGR055W			MUP1			protein_coding
SPT5_T15_R1_peak_203	V	280814	281537	+	144	NA	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-493	YER062C	YER062C	YER062C			GPP2			protein_coding
SPT5_T15_R1_peak_244	VII	23296	23805	+	144	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-385	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
SPT5_T15_R1_peak_189	V	117553	118208	+	144	NA	promoter-TSS (YEL020C-B)	protein_coding-promoter-TSS (YEL020C-B)	155	RPR1	RPR1	RPR1			RPR1			ncRNA
SPT5_T15_R1_peak_632	XV	761856	762543	+	144	NA	promoter-TSS (YOR224C)	protein_coding-promoter-TSS (YOR224C)	-115	YOR226C	YOR226C	YOR226C			ISU2			protein_coding
SPT5_T15_R1_peak_663	XVI	114466	115117	+	143	NA	promoter-TSS (YPL230W)	protein_coding-promoter-TSS (YPL230W)	-521	YPL230W	YPL230W	YPL230W			USV1			protein_coding
SPT5_T15_R1_peak_577	XIV	559262	559692	+	142	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-337	YNL036W	YNL036W	YNL036W			NCE103			protein_coding
SPT5_T15_R1_peak_599	XV	160882	162158	+	141	NA	promoter-TSS (YOL084W)	protein_coding-promoter-TSS (YOL084W)	-59	YOL085W-A	YOL085W-A	YOL085W-A			YOL085W-A			protein_coding
SPT5_T15_R1_peak_650	XV	968014	968418	+	141	NA	promoter-TSS (YOR342C)	protein_coding-promoter-TSS (YOR342C)	258	YOR343C	YOR343C	YOR343C			YOR343C			protein_coding
SPT5_T15_R1_peak_308	VII	976791	977350	+	141	NA	promoter-TSS (YGR241C)	protein_coding-promoter-TSS (YGR241C)	-266	YGR243W	YGR243W	YGR243W			MPC3			protein_coding
SPT5_T15_R1_peak_702	XVI	678440	679329	+	141	NA	promoter-TSS (YPR063C)	protein_coding-promoter-TSS (YPR063C)	-67	YPR064W	YPR064W	YPR064W			YPR064W			protein_coding
SPT5_T15_R1_peak_710	XVI	860308	860792	+	141	NA	promoter-TSS (YPR159C-A)	protein_coding-promoter-TSS (YPR159C-A)	-135	YPR159C-A	YPR159C-A	YPR159C-A			YPR159C-A			protein_coding
