PeakID (cmd=annotatePeaks.pl SPT5_T0_R2_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T0_R2_peak_366	XII	459516	461009	+	8822	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	586	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
SPT5_T0_R2_peak_152	IX	439300	439861	+	563	NA	Intergenic	Intergenic	-1401	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
SPT5_T0_R2_peak_353	XII	5550	5980	+	469	NA	promoter-TSS (YLL066W-A)	protein_coding-promoter-TSS (YLL066W-A)	160	YLL066W-B	YLL066W-B	YLL066W-B			YLL066W-B			protein_coding
SPT5_T0_R2_peak_354	XII	11011	11830	+	434	NA	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-306	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
SPT5_T0_R2_peak_169	V	140563	141639	+	379	NA	promoter-TSS (YEL007W)	protein_coding-promoter-TSS (YEL007W)	-283	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
SPT5_T0_R2_peak_264	VIII	14	419	+	367	NA	promoter-TSS (YHL050W-A)	protein_coding-promoter-TSS (YHL050W-A)	-595	YHL050W-A	YHL050W-A	YHL050W-A			YHL050W-A			protein_coding
SPT5_T0_R2_peak_131	IX	1	245	+	350	NA	promoter-TSS (YIL177W-A)	protein_coding-promoter-TSS (YIL177W-A)	-723	YIL177W-A	YIL177W-A	YIL177W-A			YIL177W-A			protein_coding
SPT5_T0_R2_peak_199	VI	4484	5557	+	327	NA	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-46	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
SPT5_T0_R2_peak_402	XII	1064513	1065430	+	318	NA	promoter-TSS (YLR462W)	protein_coding-promoter-TSS (YLR462W)	-985	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
SPT5_T0_R2_peak_130	IV	1524859	1525639	+	318	NA	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	274	YDR544C	YDR544C	YDR544C			YDR544C			protein_coding
SPT5_T0_R2_peak_1	I	34	568	+	302	NA	promoter-TSS (YAL068W-A)	protein_coding-promoter-TSS (YAL068W-A)	-34	YAL069W	YAL069W	YAL069W			YAL069W			protein_coding
SPT5_T0_R2_peak_210	VI	224881	227013	+	281	NA	promoter-TSS (YFR034C)	protein_coding-promoter-TSS (YFR034C)	11	YFR034C	YFR034C	YFR034C			PHO4			protein_coding
SPT5_T0_R2_peak_351	XI	666136	666803	+	267	NA	Intergenic	Intergenic	5027	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
SPT5_T0_R2_peak_403	XII	1071492	1071895	+	261	NA	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	17	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
SPT5_T0_R2_peak_483	XV	4	828	+	255	NA	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-169	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
SPT5_T0_R2_peak_393	XII	924590	925083	+	237	NA	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	-53	YLR402W	YLR402W	YLR402W			YLR402W			protein_coding
SPT5_T0_R2_peak_164	V	68584	69772	+	236	NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	87	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
SPT5_T0_R2_peak_448	XIII	923773	924217	+	234	NA	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-193	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
SPT5_T0_R2_peak_320	XI	51	788	+	225	NA	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	-32	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
SPT5_T0_R2_peak_85	IV	307899	308341	+	223	NA	promoter-TSS (YDL082W)	protein_coding-promoter-TSS (YDL082W)	-304	YDL082W	YDL082W	YDL082W			RPL13A			protein_coding
SPT5_T0_R2_peak_271	VIII	121996	122772	+	218	NA	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	381	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
SPT5_T0_R2_peak_208	VI	221371	221936	+	214	NA	promoter-TSS (RUF23)	ncRNA-promoter-TSS (RUF23)	-61	RUF23	RUF23	RUF23			RUF23			ncRNA
SPT5_T0_R2_peak_318	X	703172	704123	+	213	NA	promoter-TSS (YJR145C)	protein_coding-promoter-TSS (YJR145C)	-238	YJR146W	YJR146W	YJR146W			YJR146W			protein_coding
SPT5_T0_R2_peak_198	V	569885	570680	+	210	NA	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-375	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
SPT5_T0_R2_peak_286	VIII	556197	557046	+	207	NA	TTS (YHR216W)	protein_coding-TTS (YHR216W)	421	YHR217C	YHR217C	YHR217C			YHR217C			protein_coding
SPT5_T0_R2_peak_361	XII	369444	371323	+	203	NA	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	-8	YLR111W	YLR111W	YLR111W			YLR111W			protein_coding
SPT5_T0_R2_peak_531	XV	987451	988643	+	197	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	735	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
SPT5_T0_R2_peak_212	VII	9	569	+	193	NA	Intergenic	Intergenic	-2501	YGL263W	YGL263W	YGL263W			COS12			protein_coding
SPT5_T0_R2_peak_141	IX	254206	254732	+	189	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	-74	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
SPT5_T0_R2_peak_545	XVI	214207	215679	+	187	NA	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-981	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
SPT5_T0_R2_peak_74	III	315774	316514	+	184	NA	promoter-TSS (YCR108C)	protein_coding-promoter-TSS (YCR108C)	44	YCR108C	YCR108C	YCR108C			YCR108C			protein_coding
SPT5_T0_R2_peak_231	VII	482765	484510	+	182	NA	promoter-TSS (YGL007C-A)	protein_coding-promoter-TSS (YGL007C-A)	377	YGL007W	YGL007W	YGL007W			BRP1			protein_coding
SPT5_T0_R2_peak_530	XV	978413	979586	+	182	NA	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-930	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
SPT5_T0_R2_peak_192	V	442020	443118	+	180	NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	582	SCR1	SCR1	SCR1			SCR1			ncRNA
SPT5_T0_R2_peak_12	I	229418	230188	+	180	NA	TTS (YAR073W)	protein_coding-TTS (YAR073W)	959	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
SPT5_T0_R2_peak_14	II	5640	6374	+	169	NA	promoter-TSS (YBL111C)	protein_coding-promoter-TSS (YBL111C)	217	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
SPT5_T0_R2_peak_185	V	396372	396627	+	168	NA	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-270	YER117W	YER117W	YER117W			RPL23B			protein_coding
SPT5_T0_R2_peak_252	VII	919723	920438	+	168	NA	promoter-TSS (YGR213C)	protein_coding-promoter-TSS (YGR213C)	-495	YGR214W	YGR214W	YGR214W			RPS0A			protein_coding
SPT5_T0_R2_peak_317	X	663004	663513	+	164	NA	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-199	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
SPT5_T0_R2_peak_219	VII	271398	272208	+	164	NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	-717	YGL125W	YGL125W	YGL125W			MET13			protein_coding
SPT5_T0_R2_peak_161	V	53367	53803	+	156	NA	promoter-TSS (YEL054C)	protein_coding-promoter-TSS (YEL054C)	-367	YEL054C	YEL054C	YEL054C			RPL12A			protein_coding
SPT5_T0_R2_peak_405	XIII	25965	26740	+	155	NA	promoter-TSS (YML121W)	protein_coding-promoter-TSS (YML121W)	66	YML122C	YML122C	YML122C			YML122C			protein_coding
SPT5_T0_R2_peak_75	IV	9	606	+	155	NA	Intergenic	Intergenic	-1495	YDL248W	YDL248W	YDL248W			COS7			protein_coding
SPT5_T0_R2_peak_404	XIII	5474	5708	+	155	NA	promoter-TSS (YML133C)	protein_coding-promoter-TSS (YML133C)	-907	YML133C	YML133C	YML133C			YML133C			protein_coding
SPT5_T0_R2_peak_267	VIII	48084	48683	+	154	NA	promoter-TSS (YHL028W)	protein_coding-promoter-TSS (YHL028W)	-380	YHL028W	YHL028W	YHL028W			WSC4			protein_coding
SPT5_T0_R2_peak_263	VII	1083868	1084497	+	152	NA	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-682	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
SPT5_T0_R2_peak_482	XIV	783384	784245	+	152	NA	promoter-TSS (YNR077C)	protein_coding-promoter-TSS (YNR077C)	-273	YNR077C	YNR077C	YNR077C			YNR077C			protein_coding
SPT5_T0_R2_peak_345	XI	431285	431795	+	151	NA	promoter-TSS (YKL006C-A)	protein_coding-promoter-TSS (YKL006C-A)	-366	YKL006W	YKL006W	YKL006W			RPL14A			protein_coding
SPT5_T0_R2_peak_352	XII	38	304	+	151	NA	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-672	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
SPT5_T0_R2_peak_259	VII	1000103	1000721	+	146	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-515	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
SPT5_T0_R2_peak_287	VIII	562239	562583	+	143	NA	promoter-TSS (YHR219C-A)	protein_coding-promoter-TSS (YHR219C-A)	-730	YHR219C-A	YHR219C-A	YHR219C-A			YHR219C-A			protein_coding
SPT5_T0_R2_peak_224	VII	397889	398476	+	143	NA	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-446	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
SPT5_T0_R2_peak_165	V	84801	85619	+	142	NA	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	335	YEL035C	YEL035C	YEL035C			UTR5			protein_coding
SPT5_T0_R2_peak_449	XIV	6571	7336	+	142	NA	promoter-TSS (YNL337W)	protein_coding-promoter-TSS (YNL337W)	-212	YNL337W	YNL337W	YNL337W			YNL337W			protein_coding
SPT5_T0_R2_peak_347	XI	517893	519265	+	142	NA	promoter-TSS (YKR040C)	protein_coding-promoter-TSS (YKR040C)	-13	YKR040C	YKR040C	YKR040C			YKR040C			protein_coding
SPT5_T0_R2_peak_3	I	67996	68831	+	142	NA	promoter-TSS (YAL040C)	protein_coding-promoter-TSS (YAL040C)	-893	YAL040C	YAL040C	YAL040C			CLN3			protein_coding
SPT5_T0_R2_peak_56	III	57	866	+	142	NA	promoter-TSS (YCL076W)	protein_coding-promoter-TSS (YCL076W)	-931	YCL076W	YCL076W	YCL076W			YCL076W			protein_coding
SPT5_T0_R2_peak_61	III	123335	123999	+	138	NA	promoter-TSS (YCR006C)	protein_coding-promoter-TSS (YCR006C)	-19	tP(AGG)C	tP(AGG)C	tP(AGG)C			SUF2			tRNA
SPT5_T0_R2_peak_93	IV	410488	411702	+	138	NA	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	716	tA(AGC)D	tA(AGC)D	tA(AGC)D			tA(AGC)D			tRNA
SPT5_T0_R2_peak_367	XII	489373	489904	+	138	NA	promoter-TSS (YLR162W)	protein_coding-promoter-TSS (YLR162W)	65	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
SPT5_T0_R2_peak_282	VIII	451799	453437	+	138	NA	promoter-TSS (YHR175W)	protein_coding-promoter-TSS (YHR175W)	-254	YHR175W	YHR175W	YHR175W			CTR2			protein_coding
SPT5_T0_R2_peak_319	X	745136	745638	+	135	NA	promoter-TSS (YJR162C)	protein_coding-promoter-TSS (YJR162C)	-126	YJR162C	YJR162C	YJR162C			YJR162C			protein_coding
SPT5_T0_R2_peak_25	II	167960	168298	+	133	NA	promoter-TSS (YBL027W)	protein_coding-promoter-TSS (YBL027W)	-291	YBL028C	YBL028C	YBL028C			YBL028C			protein_coding
SPT5_T0_R2_peak_363	XII	423507	424910	+	131	NA	promoter-TSS (YLR139C)	protein_coding-promoter-TSS (YLR139C)	525	YLR141W	YLR141W	YLR141W			RRN5			protein_coding
SPT5_T0_R2_peak_434	XIII	551119	551840	+	131	NA	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-272	YMR142C	YMR142C	YMR142C			RPL13B			protein_coding
SPT5_T0_R2_peak_251	VII	904974	905812	+	129	NA	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	156	YGR203W	YGR203W	YGR203W			YCH1			protein_coding
SPT5_T0_R2_peak_258	VII	987037	987754	+	129	NA	promoter-TSS (YGR249W)	protein_coding-promoter-TSS (YGR249W)	-654	YGR249W	YGR249W	YGR249W			MGA1			protein_coding
SPT5_T0_R2_peak_183	V	362295	362619	+	129	NA	promoter-TSS (YER101C)	protein_coding-promoter-TSS (YER101C)	-643	YER102W	YER102W	YER102W			RPS8B			protein_coding
SPT5_T0_R2_peak_484	XV	27491	28095	+	129	NA	TTS (YOL155C)	protein_coding-TTS (YOL155C)	709	YOL155W-A	YOL155W-A	YOL155W-A			YOL155W-A			protein_coding
SPT5_T0_R2_peak_196	V	490895	491494	+	127	NA	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-293	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
SPT5_T0_R2_peak_489	XV	109272	110213	+	127	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	-555	YOL109W	YOL109W	YOL109W			ZEO1			protein_coding
SPT5_T0_R2_peak_395	XII	931628	932953	+	126	NA	promoter-TSS (YLR406C)	protein_coding-promoter-TSS (YLR406C)	65	YLR406C-A	YLR406C-A	YLR406C-A			YLR406C-A			protein_coding
SPT5_T0_R2_peak_297	X	159878	160397	+	126	NA	promoter-TSS (YJL133C-A)	protein_coding-promoter-TSS (YJL133C-A)	-290	YJL133C-A	YJL133C-A	YJL133C-A			YJL133C-A			protein_coding
SPT5_T0_R2_peak_19	II	89540	89858	+	126	NA	promoter-TSS (YBL071C-B)	protein_coding-promoter-TSS (YBL071C-B)	-143	YBL071C-B	YBL071C-B	YBL071C-B			YBL071C-B			protein_coding
SPT5_T0_R2_peak_4	I	70957	71593	+	126	NA	promoter-TSS (YAL038W)	protein_coding-promoter-TSS (YAL038W)	-511	YAL038W	YAL038W	YAL038W			CDC19			protein_coding
SPT5_T0_R2_peak_326	XI	99349	100067	+	126	NA	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-963	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
SPT5_T0_R2_peak_103	IV	591619	592343	+	126	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-458	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
SPT5_T0_R2_peak_521	XV	866667	867052	+	124	NA	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-239	YOR293W	YOR293W	YOR293W			RPS10A			protein_coding
SPT5_T0_R2_peak_142	IX	257250	257544	+	120	NA	promoter-TSS (YIL052C)	protein_coding-promoter-TSS (YIL052C)	-334	YIL052C	YIL052C	YIL052C			RPL34B			protein_coding
SPT5_T0_R2_peak_422	XIII	306105	306868	+	119	NA	promoter-TSS (YMR016C)	protein_coding-promoter-TSS (YMR016C)	-893	YMR016C	YMR016C	YMR016C			SOK2			protein_coding
SPT5_T0_R2_peak_204	VI	95148	95966	+	117	NA	promoter-TSS (YFL021W)	protein_coding-promoter-TSS (YFL021W)	-409	YFL021W	YFL021W	YFL021W			GAT1			protein_coding
SPT5_T0_R2_peak_568	XVI	942547	942926	+	117	NA	promoter-TSS (YPR202W)	protein_coding-promoter-TSS (YPR202W)	-296	YPR202W	YPR202W	YPR202W			YPR202W			protein_coding
SPT5_T0_R2_peak_342	XI	355379	356291	+	117	NA	promoter-TSS (YKL043W)	protein_coding-promoter-TSS (YKL043W)	-487	YKL044W	YKL044W	YKL044W			YKL044W			protein_coding
SPT5_T0_R2_peak_214	VII	23294	23740	+	117	NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-418	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
SPT5_T0_R2_peak_250	VII	882474	884377	+	116	NA	exon (YGR192C, exon 1 of 1)	protein_coding-exon (YGR192C, exon 1 of 1)	385	YGR192C	YGR192C	YGR192C			TDH3			protein_coding
SPT5_T0_R2_peak_226	VII	413098	413692	+	116	NA	promoter-TSS (YGL045W)	protein_coding-promoter-TSS (YGL045W)	-707	YGL045W	YGL045W	YGL045W			RIM8			protein_coding
SPT5_T0_R2_peak_427	XIII	408165	408860	+	114	NA	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	-642	YMR070W	YMR070W	YMR070W			MOT3			protein_coding
SPT5_T0_R2_peak_7	I	141785	142076	+	114	NA	promoter-TSS (YAL003W)	protein_coding-promoter-TSS (YAL003W)	-244	YAL003W	YAL003W	YAL003W			EFB1			protein_coding
SPT5_T0_R2_peak_168	V	123127	123601	+	114	NA	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-293	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
