PeakID (cmd=annotatePeaks.pl SPT5_T0_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T0_R1_peak_506	XII	459620	460759	+	2394	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	513	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
SPT5_T0_R1_peak_488	XII	36	280	+	591	NA	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-685	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
SPT5_T0_R1_peak_360	VIII	27	315	+	467	NA	promoter-TSS (YHL050W-A)	protein_coding-promoter-TSS (YHL050W-A)	-640	YHL050W-A	YHL050W-A	YHL050W-A			YHL050W-A			protein_coding
SPT5_T0_R1_peak_663	XV	108970	110208	+	357	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	413	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
SPT5_T0_R1_peak_177	IV	1524847	1525492	+	331	NA	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	-236	YDR543C	YDR543C	YDR543C			YDR543C			protein_coding
SPT5_T0_R1_peak_551	XII	1071486	1071849	+	268	NA	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	43	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
SPT5_T0_R1_peak_441	XI	76	575	+	260	NA	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	-126	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
SPT5_T0_R1_peak_18	II	5657	6356	+	253	NA	promoter-TSS (YBL111C)	protein_coding-promoter-TSS (YBL111C)	216	YBL109W	YBL109W	YBL109W			YBL109W			protein_coding
SPT5_T0_R1_peak_507	XII	489433	489963	+	224	NA	promoter-TSS (YLR162W-A)	protein_coding-promoter-TSS (YLR162W-A)	125	YLR162W	YLR162W	YLR162W			YLR162W			protein_coding
SPT5_T0_R1_peak_311	VII	397745	398476	+	215	NA	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-492	YGL056C	YGL056C	YGL056C			SDS23			protein_coding
SPT5_T0_R1_peak_220	V	6209	6441	+	210	NA	promoter-TSS (YEL075C)	protein_coding-promoter-TSS (YEL075C)	199	YEL074W	YEL074W	YEL074W			YEL074W			protein_coding
SPT5_T0_R1_peak_193	IX	254203	254952	+	210	NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	34	YIL054W	YIL054W	YIL054W			YIL054W			protein_coding
