# HOMER Peaks
# Peak finding parameters:
# tag directory = SPT5_T0_R1_Tagdir
#
# total peaks = 668
# peak size = 90
# peaks found using tags on both strands
# minimum distance between peaks = 180
# fragment length = 76
# genome size = 12127764
# Total tags = 50968.0
# Total tags in peaks = 6691.0
# Approximate IP efficiency = 13.13%
# tags per bp = 0.004166
# expected tags per peak = 0.375
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.800003e-06
# FDR tag threshold = 6.0
# number of putative peaks = 820
#
# input tag directory = SPT5_T0_R1_controlTagdir
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 96
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 56
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks SPT5_T0_R1_Tagdir -style factor -i SPT5_T0_R1_controlTagdir -o SPT5_T0_R1_homer_narrowPeak.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
XII-1	XII	460156	460246	+	59939.6	0.616	200.000000	305.5	35.1	8.71	1.54e-171	25.33	5.05e-303	0.45
XII-2	XII	460508	460598	+	42477.6	0.668	167.500000	216.5	20.3	10.66	4.99e-139	16.82	1.25e-178	0.50
XII-3	XII	106	196	+	5984.1	0.772	29.000000	30.5	0.6	49.55	9.70e-40	203.54	6.04e-58	0.93
VIII-1	VIII	64	154	+	5493.6	0.865	31.500000	28.0	0.3	90.98	1.13e-44	108.18	9.29e-47	0.86
IV-1	IV	1525215	1525305	+	5395.5	0.741	28.500000	27.5	0.6	44.68	1.01e-34	42.35	4.15e-34	0.87
XIII-1	XIII	924198	924288	+	5199.3	0.651	26.500000	26.5	0.3	86.10	9.01e-41	44.89	1.54e-33	0.86
XI-1	XI	85	175	+	5003.1	0.762	28.000000	25.5	0.6	41.43	1.88e-31	59.11	3.12e-35	0.86
V-1	V	6265	6355	+	4708.8	0.833	25.500000	24.0	0.9	25.99	9.43e-26	72.40	3.58e-36	0.90
VI-1	VI	225255	225345	+	4708.8	0.652	24.500000	24.0	2.8	8.66	4.72e-15	13.48	3.00e-19	0.88
XII-4	XII	1064964	1065054	+	4610.7	0.658	24.500000	23.5	1.8	12.73	8.85e-18	28.59	1.87e-25	0.87
XIV-1	XIV	6701	6791	+	4512.6	0.628	23.000000	23.0	1.8	12.46	8.85e-18	46.90	1.81e-30	0.89
I-1	I	86	176	+	4316.4	0.693	25.000000	22.0	1.5	14.30	2.69e-18	37.56	3.84e-27	0.89
