# HOMER Peaks
# Peak finding parameters:
# tag directory = SPT5_T15_R2_Tagdir
#
# total peaks = 691
# peak size = 92
# peaks found using tags on both strands
# minimum distance between peaks = 184
# fragment length = 78
# genome size = 12121911
# Total tags = 61380.5
# Total tags in peaks = 6812.0
# Approximate IP efficiency = 11.10%
# tags per bp = 0.005015
# expected tags per peak = 0.461
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.908387e-07
# FDR tag threshold = 7.0
# number of putative peaks = 805
#
# input tag directory = SPT5_T15_R2_controlTagdir
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 87
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 27
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks SPT5_T15_R2_Tagdir -style factor -i SPT5_T15_R2_controlTagdir -o SPT5_T15_R2_homer_narrowPeak.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
XII-1	XII	460266	460358	+	41299.8	0.573	205.000000	253.5	34.4	7.37	1.50e-126	17.25	1.78e-211	0.46
XII-2	XII	459896	459988	+	33724.1	0.626	188.500000	207.0	20.8	9.96	5.46e-128	13.68	4.24e-154	0.45
VII-1	VII	271995	272087	+	3584.2	0.671	23.500000	22.0	0.7	30.69	2.86e-25	23.58	7.64e-23	0.91
XIV-1	XIV	350016	350108	+	3584.2	0.663	22.000000	22.0	0.4	61.38	9.76e-32	26.77	5.21e-24	0.89
XV-1	XV	978881	978973	+	3014.0	0.736	18.000000	18.5	0.7	25.81	1.90e-19	20.65	8.84e-18	0.91
XII-3	XII	759064	759156	+	2932.5	0.735	18.000000	18.0	0.4	50.22	1.04e-24	53.85	3.04e-25	0.91
XIII-1	XIII	408463	408555	+	2851.1	0.677	18.000000	17.5	0.7	24.41	4.78e-18	20.37	8.97e-17	0.89
V-1	V	354983	355075	+	2769.6	0.769	18.000000	17.0	0.4	47.43	5.22e-23	31.30	5.10e-20	0.92
II-1	II	426881	426973	+	2606.7	0.623	16.500000	16.0	1.8	8.93	1.01e-10	28.96	2.07e-18	0.92
IV-2	IV	410813	410905	+	2606.7	0.679	15.500000	16.0	0.4	44.64	2.48e-21	9.76	2.78e-11	0.95
IV-1	IV	599852	599944	+	2606.7	0.627	16.500000	16.0	0.4	44.64	2.48e-21	14.24	1.07e-13	0.92
V-2	V	123214	123306	+	2606.7	0.617	16.000000	16.0	0.4	44.64	2.48e-21	28.48	2.68e-18	0.92
IX-1	IX	139301	139393	+	2525.2	0.596	15.500000	15.5	0.4	43.25	1.10e-19	18.65	2.07e-14	0.90
VII-2	VII	384815	384907	+	2525.2	0.550	15.500000	15.5	0.4	43.25	1.10e-19	19.19	1.39e-14	0.90
XI-3	XI	382129	382221	+	2525.2	0.741	15.000000	15.5	0.4	43.25	1.10e-19	17.21	6.47e-14	0.93
XIII-2	XIII	774258	774350	+	2525.2	0.625	17.000000	15.5	0.4	43.25	1.10e-19	12.55	5.71e-12	0.90
XV-2	XV	109534	109626	+	2525.2	0.586	16.000000	15.5	1.1	14.42	8.30e-13	16.69	9.94e-14	0.93
VII-3	VII	1000444	1000536	+	2443.8	0.646	15.500000	15.0	0.4	41.85	1.10e-19	21.54	1.67e-15	0.93
XVI-3	XVI	281836	281928	+	2443.8	0.773	14.500000	15.0	1.1	13.95	8.30e-13	31.37	7.41e-18	0.96
XVI-2	XVI	840721	840813	+	2443.8	0.778	15.000000	15.0	0.4	41.85	1.10e-19	43.66	5.95e-20	0.93
IV-3	IV	1279444	1279536	+	2362.3	0.886	15.500000	14.5	1.4	10.11	4.68e-10	24.99	3.16e-15	0.90
V-5	V	69247	69339	+	2362.3	0.750	14.500000	14.5	0.7	20.23	5.29e-14	21.84	1.91e-14	0.93
V-3	V	192158	192250	+	2362.3	0.692	15.500000	14.5	0.4	40.46	4.62e-18	18.59	1.62e-13	0.90
XV-3	XV	494486	494578	+	2362.3	0.733	15.000000	14.5	0.4	40.46	4.62e-18	26.69	1.30e-15	0.90
XV-4	XV	988971	989063	+	2362.3	0.755	15.000000	14.5	0.4	40.46	4.62e-18	11.92	5.74e-11	0.93
XVI-7	XVI	829254	829346	+	2362.3	0.640	14.000000	14.5	0.4	40.46	4.62e-18	14.94	2.85e-12	0.97
II-6	II	628630	628722	+	2280.9	0.723	13.500000	14.0	0.4	39.06	4.62e-18	18.50	1.09e-13	0.97
IX-2	IX	169812	169904	+	2280.9	0.762	14.500000	14.0	0.4	39.06	4.62e-18	25.34	1.63e-15	0.93
VI-1	VI	221615	221707	+	2280.9	0.600	14.000000	14.0	1.1	13.02	1.16e-11	11.69	4.71e-11	0.93
VII-8	VII	398099	398191	+	2280.9	0.569	13.500000	14.0	0.4	39.06	4.62e-18	22.01	1.08e-14	0.97
X-2	X	663177	663269	+	2280.9	0.636	14.500000	14.0	1.1	13.02	1.16e-11	21.54	1.44e-14	0.93
XI-2	XI	614994	615086	+	2280.9	0.805	15.500000	14.0	0.4	39.06	4.62e-18	19.21	6.61e-14	0.93
XV-9	XV	700967	701059	+	2280.9	0.692	14.000000	14.0	0.4	39.06	4.62e-18	52.90	7.27e-20	0.93
