PeakID (cmd=annotatePeaks.pl SPT5_T15_R1_homer_narrowPeak.txt genome.fa -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
XII-1	XII	460147	460243	+	57657.2	0.596	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	519	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
VII-1	VII	625403	625499	+	3650.2	0.747	promoter-TSS (YGR067C)	protein_coding-promoter-TSS (YGR067C)	-665	YGR067C	YGR067C	YGR067C			YGR067C			protein_coding
VII-3	VII	905541	905637	+	3235.4	0.593	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	-345	YGR204W	YGR204W	YGR204W			ADE3			protein_coding
VII-2	VII	856781	856877	+	3235.4	0.689	promoter-TSS (YGR180C)	protein_coding-promoter-TSS (YGR180C)	-528	YGR180C	YGR180C	YGR180C			RNR4			protein_coding
XV-1	XV	109523	109619	+	3235.4	0.512	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	395	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
XVI-1	XVI	425477	425573	+	3069.5	0.710	promoter-TSS (YPL066W)	protein_coding-promoter-TSS (YPL066W)	322	YPL067C	YPL067C	YPL067C			YPL067C			protein_coding
V-1	V	442088	442184	+	3069.5	0.585	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	149	SCR1	SCR1	SCR1			SCR1			ncRNA
XV-2	XV	770257	770353	+	2986.6	0.800	promoter-TSS (YOR230W)	protein_coding-promoter-TSS (YOR230W)	-495	YOR230W	YOR230W	YOR230W			WTM1			protein_coding
XV-3	XV	779608	779704	+	2986.6	0.571	promoter-TSS (YOR234C)	protein_coding-promoter-TSS (YOR234C)	-214	YOR235W	YOR235W	YOR235W			IRC13			protein_coding
XIII-1	XIII	540537	540633	+	2986.6	0.609	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-529	YMR135C	YMR135C	YMR135C			GID8			protein_coding
VII-4	VII	384824	384920	+	2986.6	0.697	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-221	YGL063C-A	YGL063C-A	YGL063C-A			YGL063C-A			protein_coding
XV-4	XV	978879	978975	+	2986.6	0.547	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-858	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
V-2	V	222319	222415	+	2903.6	0.804	promoter-TSS (YER035W)	protein_coding-promoter-TSS (YER035W)	-272	YER035W	YER035W	YER035W			EDC2			protein_coding
XII-2	XII	1028493	1028589	+	2903.6	0.656	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-313	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
VIII-1	VIII	236209	236305	+	2903.6	0.684	promoter-TSS (YHR071W)	protein_coding-promoter-TSS (YHR071W)	255	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
IV-2	IV	721806	721902	+	2820.6	0.685	promoter-TSS (YDR133C)	protein_coding-promoter-TSS (YDR133C)	-373	YDR134C	YDR134C	YDR134C			YDR134C			pseudogene
II-1	II	165223	165319	+	2820.6	0.759	promoter-TSS (YBL029C-A)	protein_coding-promoter-TSS (YBL029C-A)	-499	YBL029C-A	YBL029C-A	YBL029C-A			YBL029C-A			protein_coding
X-1	X	75667	75763	+	2820.6	0.783	promoter-TSS (YJL189W)	protein_coding-promoter-TSS (YJL189W)	-218	YJL189W	YJL189W	YJL189W			RPL39			protein_coding
IX-1	IX	99576	99672	+	2737.7	0.690	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-208	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
XII-3	XII	704522	704618	+	2737.7	0.660	promoter-TSS (YLR278C)	protein_coding-promoter-TSS (YLR278C)	261	YLR279W	YLR279W	YLR279W			YLR279W			protein_coding
V-4	V	192161	192257	+	2737.7	0.632	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	415	YER018C	YER018C	YER018C			SPC25			protein_coding
VI-2	VI	225184	225280	+	2654.7	0.531	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	-463	YFR033C	YFR033C	YFR033C			QCR6			protein_coding
XV-9	XV	520725	520821	+	2654.7	0.566	promoter-TSS (YOR107W)	protein_coding-promoter-TSS (YOR107W)	-580	YOR107W	YOR107W	YOR107W			RGS2			protein_coding
XI-1	XI	614945	615041	+	2654.7	0.667	promoter-TSS (YKR093W)	protein_coding-promoter-TSS (YKR093W)	-737	YKR093W	YKR093W	YKR093W			PTR2			protein_coding
XVI-2	XVI	40435	40531	+	2654.7	0.623	promoter-TSS (YPL265W)	protein_coding-promoter-TSS (YPL265W)	-560	YPL265W	YPL265W	YPL265W			DIP5			protein_coding
XV-5	XV	619369	619465	+	2654.7	0.627	promoter-TSS (YOR153W)	protein_coding-promoter-TSS (YOR153W)	-423	YOR153W	YOR153W	YOR153W			PDR5			protein_coding
IV-1	IV	321965	322061	+	2654.7	0.778	promoter-TSS (YDL075W)	protein_coding-promoter-TSS (YDL075W)	-213	YDL075W	YDL075W	YDL075W			RPL31A			protein_coding
VII-7	VII	654179	654275	+	2654.7	0.603	promoter-TSS (YGR088W)	protein_coding-promoter-TSS (YGR088W)	-407	YGR088W	YGR088W	YGR088W			CTT1			protein_coding
VII-6	VII	271355	271451	+	2654.7	0.500	promoter-TSS (YGL127C)	protein_coding-promoter-TSS (YGL127C)	406	YGL126W	YGL126W	YGL126W			SCS3			protein_coding
VII-5	VII	271922	272018	+	2654.7	0.571	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	-550	YGL125W	YGL125W	YGL125W			MET13			protein_coding
XV-6	XV	639060	639156	+	2654.7	0.649	promoter-TSS (YOR161C)	protein_coding-promoter-TSS (YOR161C)	159	YOR161C-C	YOR161C-C	YOR161C-C			YOR161C-C			protein_coding
X-3	X	663136	663232	+	2654.7	0.655	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-125	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
V-3	V	396497	396593	+	2654.7	0.686	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-224	YER117W	YER117W	YER117W			RPL23B			protein_coding
VI-1	VI	4839	4935	+	2571.8	0.739	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-179	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
VI-3	VI	255530	255626	+	2571.8	0.619	promoter-TSS (YFR053C)	protein_coding-promoter-TSS (YFR053C)	-529	YFR053C	YFR053C	YFR053C			HXK1			protein_coding
IV-3	IV	411245	411341	+	2571.8	0.547	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	-532	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
VI-4	VI	183129	183225	+	2571.8	0.636	promoter-TSS (YFR017C)	protein_coding-promoter-TSS (YFR017C)	-316	YFR017C	YFR017C	YFR017C			IGD1			protein_coding
XV-8	XV	462403	462499	+	2571.8	0.814	TTS (YOR072W)	protein_coding-TTS (YOR072W)	660	YOR072W-A	YOR072W-A	YOR072W-A			YOR072W-A			protein_coding
XIII-2	XIII	551367	551463	+	2571.8	0.773	promoter-TSS (YMR142C)	protein_coding-promoter-TSS (YMR142C)	-208	YMR142C	YMR142C	YMR142C			RPL13B			protein_coding
IV-6	IV	636227	636323	+	2488.8	0.621	promoter-TSS (YDR096W)	protein_coding-promoter-TSS (YDR096W)	252	YDR095C	YDR095C	YDR095C			YDR095C			protein_coding
XVI-8	XVI	432197	432293	+	2488.8	0.603	promoter-TSS (YPL061W)	protein_coding-promoter-TSS (YPL061W)	-343	YPL061W	YPL061W	YPL061W			ALD6			protein_coding
XI-2	XI	666529	666625	+	2488.8	0.738	Intergenic	Intergenic	5135	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
XVI-3	XVI	214614	214710	+	2488.8	0.597	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-700	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
XV-13	XV	678907	679003	+	2488.8	0.780	promoter-TSS (YOR182C)	protein_coding-promoter-TSS (YOR182C)	83	YOR183W	YOR183W	YOR183W			FYV12			protein_coding
XVI-5	XVI	645577	645673	+	2488.8	0.525	promoter-TSS (YPR036W-A)	protein_coding-promoter-TSS (YPR036W-A)	-325	YPR036W-A	YPR036W-A	YPR036W-A			SPO24			protein_coding
X-2	X	360926	361022	+	2488.8	0.816	promoter-TSS (YJL042W)	protein_coding-promoter-TSS (YJL042W)	-275	YJL042W	YJL042W	YJL042W			MHP1			protein_coding
XV-7	XV	978594	978690	+	2488.8	0.649	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-573	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
VIII-2	VIII	122454	122550	+	2488.8	0.745	promoter-TSS (YHR007C)	protein_coding-promoter-TSS (YHR007C)	263	YHR007C-A	YHR007C-A	YHR007C-A			YHR007C-A			protein_coding
II-3	II	193748	193844	+	2488.8	0.660	promoter-TSS (YBL015W)	protein_coding-promoter-TSS (YBL015W)	-326	YBL015W	YBL015W	YBL015W			ACH1			protein_coding
