PeakID (cmd=annotatePeaks.pl SPT5_T15_R2_homer_narrowPeak.txt genome.fa -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
XII-1	XII	460266	460358	+	41299.8	0.573	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	636	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
XII-2	XII	459896	459988	+	33724.1	0.626	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	266	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
VII-1	VII	271995	272087	+	3584.2	0.671	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	-479	YGL125W	YGL125W	YGL125W			MET13			protein_coding
XIV-1	XIV	350016	350108	+	3584.2	0.663	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	-306	YNL149C	YNL149C	YNL149C			PGA2			protein_coding
XV-1	XV	978881	978973	+	3014.0	0.736	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-858	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
XII-3	XII	759064	759156	+	2932.5	0.735	promoter-TSS (YLR312C)	protein_coding-promoter-TSS (YLR312C)	-277	YLR312C	YLR312C	YLR312C			YLR312C			protein_coding
XIII-1	XIII	408463	408555	+	2851.1	0.677	promoter-TSS (YMR070W)	protein_coding-promoter-TSS (YMR070W)	-645	YMR070W	YMR070W	YMR070W			MOT3			protein_coding
V-1	V	354983	355075	+	2769.6	0.769	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	95	tE(UUC)E2	tE(UUC)E2	tE(UUC)E2			tE(UUC)E2			tRNA
II-1	II	426881	426973	+	2606.7	0.623	promoter-TSS (YBR089C-A)	protein_coding-promoter-TSS (YBR089C-A)	131	YBR090C	YBR090C	YBR090C			YBR090C			protein_coding
IV-2	IV	410813	410905	+	2606.7	0.679	promoter-TSS (YDL022C-A)	protein_coding-promoter-TSS (YDL022C-A)	480	tA(AGC)D	tA(AGC)D	tA(AGC)D			tA(AGC)D			tRNA
IV-1	IV	599852	599944	+	2606.7	0.627	promoter-TSS (YDR077W)	protein_coding-promoter-TSS (YDR077W)	-895	YDR077W	YDR077W	YDR077W			SED1			protein_coding
V-2	V	123214	123306	+	2606.7	0.617	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-331	YEL017C-A	YEL017C-A	YEL017C-A			PMP2			protein_coding
XI-3	XI	382129	382221	+	2525.2	0.741	promoter-TSS (YKL030W)	protein_coding-promoter-TSS (YKL030W)	103	YKL031W	YKL031W	YKL031W			YKL031W			protein_coding
VII-2	VII	384815	384907	+	2525.2	0.550	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	-210	YGL063C-A	YGL063C-A	YGL063C-A			YGL063C-A			protein_coding
XV-2	XV	109534	109626	+	2525.2	0.586	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	404	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
XIII-2	XIII	774258	774350	+	2525.2	0.625	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-448	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
IX-1	IX	139301	139393	+	2525.2	0.596	promoter-TSS (YIL118W)	protein_coding-promoter-TSS (YIL118W)	-405	YIL118W	YIL118W	YIL118W			RHO3			protein_coding
XVI-3	XVI	281836	281928	+	2443.8	0.773	promoter-TSS (YPL143W)	protein_coding-promoter-TSS (YPL143W)	-240	YPL143W	YPL143W	YPL143W			RPL33A			protein_coding
XVI-2	XVI	840721	840813	+	2443.8	0.778	promoter-TSS (YPR156C)	protein_coding-promoter-TSS (YPR156C)	-499	YPR157W	YPR157W	YPR157W			TDA6			protein_coding
VII-3	VII	1000444	1000536	+	2443.8	0.646	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-437	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
XV-4	XV	988971	989063	+	2362.3	0.755	promoter-TSS (YOR348C)	protein_coding-promoter-TSS (YOR348C)	-235	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
V-5	V	69247	69339	+	2362.3	0.750	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	-28	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
XV-3	XV	494486	494578	+	2362.3	0.733	promoter-TSS (YOR092W)	protein_coding-promoter-TSS (YOR092W)	-595	YOR092W	YOR092W	YOR092W			ECM3			protein_coding
IV-3	IV	1279444	1279536	+	2362.3	0.886	exon (YDR406W, exon 1 of 1)	protein_coding-exon (YDR406W, exon 1 of 1)	280	YDR406W	YDR406W	YDR406W			PDR15			protein_coding
XVI-7	XVI	829254	829346	+	2362.3	0.640	promoter-TSS (YPR149W)	protein_coding-promoter-TSS (YPR149W)	-618	YPR149W	YPR149W	YPR149W			NCE102			protein_coding
V-3	V	192158	192250	+	2362.3	0.692	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	-416	YER017C	YER017C	YER017C			AFG3			protein_coding
XVI-6	XVI	497848	497940	+	2280.9	0.714	promoter-TSS (YPL028W)	protein_coding-promoter-TSS (YPL028W)	-202	YPL028W	YPL028W	YPL028W			ERG10			protein_coding
X-2	X	663177	663269	+	2280.9	0.636	promoter-TSS (YJR127C)	protein_coding-promoter-TSS (YJR127C)	-164	YJR127C	YJR127C	YJR127C			RSF2			protein_coding
XI-2	XI	614994	615086	+	2280.9	0.805	promoter-TSS (YKR093W)	protein_coding-promoter-TSS (YKR093W)	-690	YKR093W	YKR093W	YKR093W			PTR2			protein_coding
XV-9	XV	700967	701059	+	2280.9	0.692	promoter-TSS (YOR192C)	protein_coding-promoter-TSS (YOR192C)	-446	YOR192C	YOR192C	YOR192C			THI72			protein_coding
XV-7	XV	978668	978760	+	2280.9	0.532	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-645	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
II-6	II	628630	628722	+	2280.9	0.723	promoter-TSS (YBR203W)	protein_coding-promoter-TSS (YBR203W)	-492	YBR203W	YBR203W	YBR203W			COS111			protein_coding
VII-8	VII	398099	398191	+	2280.9	0.569	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-483	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
XVI-5	XVI	431898	431990	+	2280.9	0.667	promoter-TSS (YPL061W)	protein_coding-promoter-TSS (YPL061W)	49	YPL062W	YPL062W	YPL062W			YPL062W			protein_coding
VI-1	VI	221615	221707	+	2280.9	0.600	promoter-TSS (RUF23)	ncRNA-promoter-TSS (RUF23)	-53	RUF23	RUF23	RUF23			RUF23			ncRNA
IX-2	IX	169812	169904	+	2280.9	0.762	promoter-TSS (YIL105C)	protein_coding-promoter-TSS (YIL105C)	-217	YIL105C	YIL105C	YIL105C			SLM1			protein_coding
VIII-1	VIII	236160	236252	+	2199.4	0.571	promoter-TSS (YHR069C-A)	protein_coding-promoter-TSS (YHR069C-A)	306	YHR070C-A	YHR070C-A	YHR070C-A			YHR070C-A			protein_coding
VII-4	VII	905547	905639	+	2199.4	0.723	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	-341	YGR204W	YGR204W	YGR204W			ADE3			protein_coding
II-2	II	490663	490755	+	2199.4	0.588	promoter-TSS (YBR126C)	protein_coding-promoter-TSS (YBR126C)	-141	YBR126W-A	YBR126W-A	YBR126W-A			YBR126W-A			protein_coding
XV-5	XV	109260	109352	+	2199.4	0.865	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	130	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
VII-5	VII	271402	271494	+	2199.4	0.769	promoter-TSS (YGL127C)	protein_coding-promoter-TSS (YGL127C)	451	YGL126W	YGL126W	YGL126W			SCS3			protein_coding
V-4	V	42208	42300	+	2199.4	0.714	promoter-TSS (YEL058W)	protein_coding-promoter-TSS (YEL058W)	-301	YEL060C	YEL060C	YEL060C			PRB1			protein_coding
XI-1	XI	99741	99833	+	2199.4	0.525	promoter-TSS (YKL182W)	protein_coding-promoter-TSS (YKL182W)	-884	YKL182W	YKL182W	YKL182W			FAS1			protein_coding
XIV-2	XIV	441118	441210	+	2199.4	0.660	promoter-TSS (YNL097C-B)	protein_coding-promoter-TSS (YNL097C-B)	-245	YNL097C-B	YNL097C-B	YNL097C-B			YNL097C-B			protein_coding
XIII-3	XIII	510956	511048	+	2199.4	0.545	promoter-TSS (YMR121C)	protein_coding-promoter-TSS (YMR121C)	73	YMR122C	YMR122C	YMR122C			YMR122C			protein_coding
XIII-5	XIII	353056	353148	+	2199.4	0.545	promoter-TSS (YMR043W)	protein_coding-promoter-TSS (YMR043W)	499	YMR042W	YMR042W	YMR042W			ARG80			protein_coding
IX-4	IX	99644	99736	+	2199.4	0.673	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-274	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
VII-6	VII	547463	547555	+	2199.4	0.702	promoter-TSS (YGR031C-A)	protein_coding-promoter-TSS (YGR031C-A)	-209	YGR031C-A	YGR031C-A	YGR031C-A			NAG1			protein_coding
XII-5	XII	658412	658504	+	2199.4	0.569	promoter-TSS (YLR257W)	protein_coding-promoter-TSS (YLR257W)	-368	YLR257W	YLR257W	YLR257W			YLR257W			protein_coding
X-1	X	220370	220462	+	2199.4	0.636	promoter-TSS (YJL106W)	protein_coding-promoter-TSS (YJL106W)	-400	YJL107C	YJL107C	YJL107C			YJL107C			protein_coding
